משפחה,תאור מחסן,מחסן,כמות,מק'ט
1030004.0,מחסן ראשי,Main,-12.0,05424
1029008.0,מחסן ראשי,Main,-846.0,0608614331291
1029008.0,מחסן ראשי,Main,-264.0,0608614331307
1029008.0,מחסן ראשי,Main,-1204.0,0608614331314
1029008.0,מחסן ראשי,Main,-2819.0,0608614331321
1029008.0,מחסן ראשי,Main,-273.0,0608614331338
1029008.0,מחסן ראשי,Main,-364.0,0608614331345
1029008.0,מחסן ראשי,Main,-500.0,0608614331352
1029008.0,מחסן ראשי,Main,-184.0,0608614331369
11.0,מחסן ראשי,Main,60.0,11020555EURO
11.0,מחסן ראשי,Main,14.0,11030200EURO
11.0,מחסן ראשי,Main,48.0,11030303EURO
11.0,מחסן ראשי,Main,116.0,11370707EURO
11.0,מחסן ראשי,Main,48.0,11392222EURO
11.0,מחסן ראשי,Main,20.0,11450303EURO
11.0,מחסן ראשי,Main,60.0,11486948EURO
11.0,מחסן ראשי,Main,32.0,11490808EURO
11.0,מחסן ראשי,Main,34.0,11491616EURO
11.0,מחסן ראשי,Main,28.0,11492323EURO
11.0,מחסן ראשי,Main,55.0,11550909EURO
11.0,מחסן ראשי,Main,60.0,11762400EURO
11.0,מחסן ראשי,Main,39.0,11800808EURO
11.0,מחסן ראשי,Main,112.0,11800909EURO
11.0,מחסן ראשי,Main,53.0,11801911EURO
11.0,מחסן ראשי,Main,56.0,11801919EURO
11.0,מחסן ראשי,Main,60.0,11941919EURO
11.0,מחסן ראשי,Main,60.0,11963232EURO
11.0,מחסן ראשי,Main,52.0,11A1A200EURO
1300101.0,מחסן ראשי,Main,-2.0,125R
1061002.0,מחסן ראשי,Main,2.0,1879005000/M
1029006.0,מחסן ראשי,Main,92.0,2710198700
1048691.0,מחסן פארטסרייד פאי,08,5.0,41680261BRECO
1048691.0,מחסן ראשי,Main,6.0,41680261BRECO
1029008.0,מחסן ראשי,Main,-144.0,4RR40400LEYO
1029006.0,מחסן ראשי,Main,-20.0,513843090
1200002.0,מחסן ראשי,Main,-2.0,60L
1300101.0,מחסן ראשי,Main,-8.0,66RN
1030006.0,מחסן ראשי,Main,-4.0,6935347330913
1300003.0,מחסן ראשי,Main,36.0,7290006532124
